id,title,type,description,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score,platform
tm944307,I'm Glad I Did,MOVIE,"Metin Akpınar has not been on the theater stage since 1992. In addition to TV series and movies, new generations were able to meet him with Devekuşu Kabare's six plays that could be recorded. As if it was written today, those who watched had a taste of his unique acting in current plays. It was an acting that accompanied his talent and his intellectual background. ""I'm Glad I Did"", when transferring through the years Metin Akpinar he brought his own narrative, on the other hand, offers a different approach to Turkey's recent history, leaving an archive for the future by refreshing memory.",2020,,123,['documentation'],['TR'],,tt15139398,8.4,1605,1.779,7.8,netflix
tm898699,Larry the Cable Guy: Remain Seated,MOVIE,"Larry the Cable Guy is back to Git R Done. Remain Seated, his latest solo special, will show you why this Grammy nominated, multi-platinum recording artist, and Billboard award winner is at the top of his game. Coming to you straight from the Rialto Square Theatre in Joliet, IL to your seat at home!",2020,R,67,['comedy'],['US'],,tt11464488,6.6,299,1.768,6.4,netflix
tm823350,Luccas Neto in: Summer Camp,MOVIE,Luccas and Gi are heading to a world famous gymkhana camp. Only problem: so are their bullies... A fun musical that will get you in a vacation mood.,2019,G,87,"['comedy', 'family', 'action']",['BR'],,tt13766476,3.4,69,1.759,8.1,netflix
tm832684,Los Tigres del Norte at Folsom Prison,MOVIE,The band Los Tigres del Norte visit both the male and female inmates of Folsom Prison. Inmates share their stories and how the music of Los Tigres del Norte speaks to them.,2019,,64,"['documentation', 'music']",['US'],,tt10857582,7,190,1.741,6.4,netflix
tm936519,Soulmate,MOVIE,A romantic film presenting a love story that is both sweet and bitter. Can love be found amidst clashes and troubles?,2020,,106,['drama'],['EG'],,,,,1.741,5.8,netflix
tm463814,Edoardo Ferrario: Temi Caldi,MOVIE,"Italian comedian Edoardo Ferrario riffs on life at 30 and unpacks the peculiarities of global travel, social media and people who like craft beer.",2019,,65,['comedy'],['IT'],,tt9861498,6.5,147,1.73,6.6,netflix
tm941493,StarBeam: Halloween Hero,MOVIE,"Greedy Captain Fishbeard is stealing everybody's Halloween treats for himself, but StarBeam and Boost have some tricks up their sleeves to save the day!",2020,,33,['animation'],['CA'],,,,,1.725,8,netflix
tm863879,Kaamyaab,MOVIE,"The human drama is based on an interesting premise of a seasoned character actor who decides to come out of retirement and begin a quest for a record of some sorts, that elusive 500th role, the one for which he shall be remembered forever.",2020,PG,109,"['comedy', 'drama']",['IN'],,,,,1.649,6.286,netflix
tm837802,Luccas Neto in: Children's Day,MOVIE,Luccas Neto is planning a big Children's Day celebration at a school but an unexpected threat puts the party and his friends at risk.,2019,,81,"['family', 'action', 'comedy']",['BR'],,tt14706754,3,16,1.595,8.2,netflix
tm940835,Chhota Bheem Ka Roosi Romanch,MOVIE,"Prof Dhoomketu’s crude transportation machine transports the kids to Ivano village in Russia, where they come across an evil magician Kazimir. They fight him to rescue Sofia and her father Czar Fedor.",2019,G,62,['animation'],[],,,,,1.551,,netflix
