id,title,type,description,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score,platform
tm137667,Santa Buddies,MOVIE,"When Puppy Paws, the fun-loving son of Santa Paws, gets bored, he finds Budderball on Santa's naughty list and figures he's just the dog to show him how to be an ordinary pup. When the magical Christmas Icicle starts to melt however, and the world begins to forget the true meaning of the season, it's up to Puppy Paws and his newfound Buddies to journey back to the North Pole and save Christmas.",2009,G,88,"['family', 'action']","['CA', 'US']",,,,,15.683,5.9,disney
tm35977,Like Mike 2: Streetball,MOVIE,Another young boy with 'hoop dreams' finds an old pair of Michael Jordan's sneakers and can suddenly play ball like the greatest player in the world.,2006,PG,96,"['family', 'comedy', 'fantasy']",['US'],,,,,14.909,5.389,disney
tm156660,Partly Cloudy,MOVIE,"Everyone knows that the stork delivers babies, but where do the storks get the babies from? The answer lies up in the stratosphere, where cloud people sculpt babies from clouds and bring them to life. Gus, a lonely and insecure grey cloud, is a master at creating ""dangerous"" babies. Crocodiles, porcupines, rams and more - Gus's beloved creations are works of art, but more than a handful for his loyal delivery stork partner, Peck. As Gus's creations become more and more rambunctious, Peck's job gets harder and harder. How will Peck manage to handle both his hazardous cargo and his friend's fiery temperament?",2009,G,5,"['family', 'comedy', 'animation']",['US'],,,,,14.551,7.8,disney
tm33408,The Cheetah Girls: One World,MOVIE,"Chanel, Dorinda, and Aqua are off to India to star in a Bollywood movie. But when they discover that they will have to compete against each other to get the role in the movie, will the Cheetahs break up again?",2008,G,90,"['music', 'family', 'comedy', 'drama']",['US'],,tt1013542,4.6,4747,13.81,6.1,disney
tm77376,Going to the Mat,MOVIE,"Jace Newfield has a problem. Besides being blind and being the new kid at school, his problem is that the kids at his new school thinks he's a jerk. Jace has to find a way to be accepted into his new school. Joining the wrestling team just might work.",2004,,96,"['drama', 'family', 'sport']",['US'],,tt0399104,6.7,1531,12.978,6.889,disney
tm130402,Young Black Stallion,MOVIE,"When courageous young Neera becomes separated from her family in the desert, she chances upon a wild colt. Together they find friendship, trust, and their way back home only to discover her family is about to lose everything!",2003,G,99,"['drama', 'family']",['US'],,tt0318850,5.4,1286,12.748,6.612,disney
tm33904,Read It and Weep,MOVIE,A young girl turns into an A-List celebrity over night when her private journal is accidently published and becomes a best-seller.,2006,G,90,"['drama', 'animation', 'comedy', 'family', 'romance']",['US'],,tt0494716,5.5,5800,12.573,5.8,disney
tm43952,Tokyo Mater,MOVIE,"A routine tow lands Mater in Tokyo, where he is challenged to a drift-style race against a nefarious gang leader and his posse of ninjas. With the help of his friend, 'Dragon' Lightning McQueen, and some special modifications, Mater attempts to drift to victory and become Tow-ke-O Mater, King of all Drifters.",2008,,6,['animation'],['US'],,,,,12.55,6.1,disney
tm108005,Gotta Kick It Up!,MOVIE,"This was going to be the first year that Marshal Middle School was not going to have a dance team. All that changes when the new Biology teacher, Ms. Bartlett, agrees to be the coach. Now the girls need to prove that they are ready to compete and are able to win; not only to themselves, but to their parents and coach. Using the chant ""si, se puede"" or ""yes, I can"" the Dance team builds their confidence to perform.",2002,G,85,"['comedy', 'drama', 'family']",['US'],,tt0299943,5.6,1996,12.124,6.632,disney
tm48496,Presto,MOVIE,"Dignity. Poise. Mystery. We expect nothing less from the great turn-of-the-century magician, Presto. But when Presto neglects to feed his rabbit one too many times, the magician finds he isn't the only one with a few tricks up his sleeve!",2008,G,5,"['animation', 'family', 'comedy']",['US'],,,,,12.111,7.786,disney
tm145752,Eddie's Million Dollar Cook Off,MOVIE,"Eddie Ogden is his pa's pride and joy as well as the Groundhogs team's only asset as baseball talent. Then Eddie discovers a taste and talent for cuisine. Although his brothers Andy and Alex, and Pa as well as classmates enjoy his dishes, they only mock cooking, so he arranges and 'accidental' registration for him and two friends in Home Economics. Only Eddie -secretly again- and nerdy shrew Bridget Simons enter a national cooking competition for school-kids. Ma finds out and to his surprise proves supportive, as well as the teacher, who once won the competition herself.",2003,G,85,"['comedy', 'family', 'sport']",['US'],,tt0365149,6,3110,11.372,5.864,disney
tm42743,Rescue Squad Mater,MOVIE,"Lightning McQueen and Mater are driving in Radiator Springs and drive past Red, who is hosing some plants near Stanley. Mater tells Lightning that he used to be a firetruck, but Lightning doesn't believe Mater.",2008,,3,['animation'],['US'],,,,,10.92,5.9,disney
tm138041,Unidentified Flying Mater,MOVIE,"Mater finds a small UFO called Mator and they have a night out. Later, when Mator is captured by military forces, Mater sneaks up and saves him with the help of Lightning McQueen and the UFO's mother.",2009,,4,['animation'],['US'],,,,,10.574,6.1,disney
tm149604,Space Buddies,MOVIE,"B-Dawg, Mudbud, Budderball, and all the rest of the Buddies are back, but this time, they're setting their sights even higher -- as in, the moon! With the help of their new pals Spudnick (voiced by Jason Earles) and Gravity, these pooches are go for launch. But to pull off their moon landing and make it home safely, our canine heroes will have to summon all their bravery and imagination...",2009,G,84,"['action', 'drama', 'family', 'comedy']","['US', 'CA']",,,,,10.245,5.7,disney
tm28759,Minutemen,MOVIE,"When three high-school friends invent a time-machine, they decide to use it to go back in time and prevent other youngsters from making humiliating mistakes.",2008,G,98,"['comedy', 'family', 'romance', 'scifi', 'thriller']",['US'],,tt1072755,5.8,6459,9.87,5.682,disney
tm97996,Mater Private Eye,MOVIE,"Detective Mater is hot on the trail of a dastardly car-napping! When Tia's sister goes missing, Mater is the only car she can turn to. With this tow truck on the case, anything can happen.",2010,G,5,"['comedy', 'family', 'thriller', 'animation']",['US'],,,,,9.424,6.2,disney
tm92184,Heavy Metal Mater,MOVIE,"Mater and Lightning McQueen are ready to rock! When Mater's garage band, Mater and the Gas Caps, records a hit song, Mater becomes a rock legend. Then Lightning joins Mater's band for the rock concert of the century!",2010,,4,['animation'],['US'],,,,,9.391,5.9,disney
