person_id,id,name,character,role,platform
13768,tm87946,Billy Bletcher,Clown (voice),ACTOR,disney
13772,tm87946,Eddie Holden,Clown (voice),ACTOR,disney
13774,tm87946,Malcolm Hutton,Skinny (voice),ACTOR,disney
13775,tm87946,Harold Manley,Boy (voice),ACTOR,disney
23435,tm87946,James MacDonald,Roaring Lion (voice),ACTOR,disney
104794,tm87946,Jack Mercer,Clowns (voice),ACTOR,disney
572267,tm87946,Tony Neil,Boy (voice),ACTOR,disney
13776,tm87946,Ben Sharpsteen,,DIRECTOR,disney
23440,tm87946,William Roberts,,DIRECTOR,disney
23446,tm87946,Wilfred Jackson,,DIRECTOR,disney
23437,tm87946,Samuel Armstrong,,DIRECTOR,disney
23445,tm87946,Norman Ferguson,,DIRECTOR,disney
25067,tm87946,Jack Kinney,,DIRECTOR,disney
23433,tm74391,Deems Taylor,Narrator - Narrative Introductions,ACTOR,disney
5910,tm74391,Walt Disney,Mickey Mouse (segment 'The Sorcerer's Apprentice') (voice),ACTOR,disney
23436,tm74391,Julietta Novis,Soloist (segment 'Ave Maria') (singing voice),ACTOR,disney
23434,tm74391,Leopold Stokowski,Self - Conductor of The Philadelphia Orchestra,ACTOR,disney
23441,tm74391,Paul Satterfield,,DIRECTOR,disney
23442,tm74391,Hamilton Luske,,DIRECTOR,disney
23443,tm74391,Jim Handley,,DIRECTOR,disney
6164,tm74391,Ford Beebe,,DIRECTOR,disney
23444,tm74391,T. Hee,,DIRECTOR,disney
23446,tm74391,Wilfred Jackson,,DIRECTOR,disney
23440,tm74391,William Roberts,,DIRECTOR,disney
13776,tm74391,Ben Sharpsteen,,DIRECTOR,disney
23438,tm74391,James Algar,,DIRECTOR,disney
23437,tm74391,Samuel Armstrong,,DIRECTOR,disney
23445,tm74391,Norman Ferguson,,DIRECTOR,disney
6147,tm74391,David Hand,,DIRECTOR,disney
97871,tm79357,Donnie Dunagan,Young Bambi (voice) (uncredited),ACTOR,disney
97870,tm79357,Peter Behn,Young Thumper (voice) (uncredited),ACTOR,disney
97869,tm79357,Stan Alexander,Young Flower (voice) (uncredited),ACTOR,disney
13318,tm79357,Cammie King,Young Faline (voice) (uncredited),ACTOR,disney
49067,tm79357,Will Wright,Friend Owl (voice) (uncredited),ACTOR,disney
97868,tm79357,Hardie Albright,Adolescent Bambi (voice) (uncredited),ACTOR,disney
97874,tm79357,Ann Gillis,Adolescent Faline (voice) (uncredited),ACTOR,disney
97873,tm79357,Tim Davis,Adolescent Thumper / Adolescent Flower (voice) (uncredited),ACTOR,disney
74029,tm79357,Sam Edwards,Adult Thumper (voice) (uncredited),ACTOR,disney
5900,tm79357,Sterling Holloway,Adult Flower (voice) (uncredited),ACTOR,disney
6140,tm79357,Otis Harlan,Mr. Mole (voice) (uncredited),ACTOR,disney
598853,tm79357,Thelma Boardman,Girl Bunny / Quail Mother / Female Pheasant (voice) (uncredited),ACTOR,disney
31237,tm79357,Clarence Nash,Bullfrog (voice) (uncredited),ACTOR,disney
6145,tm79357,Marion Darlington,Birds (voice) (uncredited),ACTOR,disney
13772,tm79357,Eddie Holden,Chipmunk (voice),ACTOR,disney
6147,tm79357,David Hand,,DIRECTOR,disney
31237,tm160778,Clarence Nash,Donald Duck (voice) (uncredited),ACTOR,disney
23435,tm160778,James MacDonald,Gus Goose (voice) (uncredited),ACTOR,disney
6139,tm160778,Pinto Colvig,Barking Hot Dog (voice) (uncredited),ACTOR,disney
133995,tm160778,Jack King,,DIRECTOR,disney
6134,tm67803,Adriana Caselotti,Snow White (voice) (uncredited),ACTOR,disney
6141,tm67803,Lucille La Verne,Queen / Witch (voice) (uncredited),ACTOR,disney
6142,tm67803,Harry Stockwell,Prince (voice) (uncredited),ACTOR,disney
6135,tm67803,Roy Atwell,Doc (voice) (uncredited),ACTOR,disney
6139,tm67803,Pinto Colvig,Sleepy / Grumpy / Dopey (hiccups) (voice) (uncredited),ACTOR,disney
6140,tm67803,Otis Harlan,Happy (voice) (uncredited),ACTOR,disney
6136,tm67803,Scotty Mattraw,Bashful (voice) (uncredited),ACTOR,disney
6137,tm67803,Billy Gilbert,Sneezy (voice) (uncredited),ACTOR,disney
6138,tm67803,Eddie Collins,Dopey / Chipmunk and Squirrel Sneezes (voice) (uncredited),ACTOR,disney
6144,tm67803,Moroni Olsen,Magic Mirror (voice) (uncredited),ACTOR,disney
6145,tm67803,Marion Darlington,Birds (voice) (uncredited),ACTOR,disney
6146,tm67803,Purv Pullen,Birds (voice) (uncredited),ACTOR,disney
12876,tm67803,June Foray,Animals (voice) (uncredited),ACTOR,disney
31238,tm67803,Candy Candido,Raven (voice) (uncredited),ACTOR,disney
6147,tm67803,David Hand,,DIRECTOR,disney
40975,tm62671,Bobby Driscoll,Jim Hawkins,ACTOR,disney
36587,tm62671,Robert Newton,Long John Silver,ACTOR,disney
51657,tm62671,Basil Sydney,Captain Smollett,ACTOR,disney
63203,tm62671,Walter Fitzgerald,Squire Trelawney,ACTOR,disney
64887,tm62671,Denis O'Dea,Dr. Livesy,ACTOR,disney
13686,tm62671,Finlay Currie,Capt. Billy Bones,ACTOR,disney
35478,tm62671,Ralph Truman,George Merry,ACTOR,disney
11651,tm62671,Geoffrey Keen,Israel Hands,ACTOR,disney
2506522,tm62671,Geoffrey Wilkinson,Ben Gunn,ACTOR,disney
27739,tm62671,John Laurie,Blind Pew,ACTOR,disney
51656,tm62671,Francis de Wolff,Black Dog,ACTOR,disney
81222,tm62671,David Davies,Mr. Arrow,ACTOR,disney
93325,tm62671,John Gregson,Redruth,ACTOR,disney
567691,tm62671,Andrew Blackett,Gray,ACTOR,disney
129287,tm62671,William Devlin,Morgan,ACTOR,disney
153617,tm62671,Howard Douglas,Williams,ACTOR,disney
223500,tm62671,Harry Locke,Haggott,ACTOR,disney
63677,tm62671,Sam Kydd,Cady,ACTOR,disney
686013,tm62671,Stephen Jack,Job,ACTOR,disney
686012,tm62671,Harold Jamieson,Scully,ACTOR,disney
219304,tm62671,David Blake Kelly,Bolen,ACTOR,disney
686056,tm62671,Reginald Drummond,Vane,ACTOR,disney
591235,tm62671,Gordon Mulholland,Durgin,ACTOR,disney
39222,tm62671,Patrick Troughton,Roach,ACTOR,disney
543928,tm62671,Jim O'Brady,Wolfe,ACTOR,disney
686006,tm62671,Chris Adcock,Pike,ACTOR,disney
685763,tm62671,Tom Lucas,Upson,ACTOR,disney
530829,tm62671,Leo Phillips,Spotts,ACTOR,disney
685761,tm62671,Eddie Moran,Bart,ACTOR,disney
685947,tm62671,Bob Head,Tardy,ACTOR,disney
543826,tm62671,Ken Buckle,Joyce,ACTOR,disney
685943,tm62671,Paddy Brannigan,Hunter,ACTOR,disney
685942,tm62671,Jack Arrow,Norton,ACTOR,disney
685966,tm62671,Freddy Clark,Bray,ACTOR,disney
55434,tm62671,Byron Haskin,,DIRECTOR,disney
27198,tm82546,Dickie Jones,Pinocchio / Alexander (voice) (uncredited),ACTOR,disney
