id,title,type,description,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score,platform
tm470574,Changing the Game,MOVIE,"Transgender high school athletes from across the country compete at the top of their fields, while also challenging the boundaries and perceptions of fairness and discrimination.",2019,,88,"['documentation', 'sport', 'drama']",['US'],,tt10011320,6.4,277,1.75,6.8,hulu
ts230784,Salvage Kings,SHOW,"Ted Finch and his team of salvage experts hunt for rare artifacts on Salvage Kings, rescuing treasures from oceans, abandoned buildings, and treacherous terrain. Witness their thrilling missions to save history from being lost forever.",2019,,53,['reality'],['CA'],3,tt11420972,7.8,117,1.569,8,hulu
tm460582,Into the Grand Canyon,MOVIE,"Two journalists traverse the Grand Canyon by foot, hoping this 750-mile walk will help them better
 understand one of America's most revered landscapes and the threats poised to alter it forever.",2019,PG,84,['documentation'],['US'],,tt9822474,7.2,544,1.552,7.7,hulu
tm1047400,Madagascar: A Little Wild - A Fang-Tastic Halloween,MOVIE,"After hearing spooky rumors about the new habitat resident- A BAT- Marty is determined to protect his friends from the newcomer. But when the bat helps him out of a tough situation, Marty learns it's better to get to know someone before judging them.",2020,G,23,"['animation', 'family']",['US'],,,,,1.508,4,hulu
tm860297,Ride,MOVIE,"Spin classes can be a bit intimidating. But for Brit, the fear is real when her first class turns into a ride for her life.",2019,,7,['horror'],['US'],,,,,1.4,6.667,hulu
ts226434,60 Days In: Narcoland,SHOW,"60 Days In: Narcoland follows six participants as they go undercover in crucial areas along I-65 - one of the biggest drug trafficking corridors in the country, encompassing six counties in Kentucky and Indiana. Viewers get a first-hand look into how the drug cartels have infiltrated America's Heartland while the undercover participants tackle the drug crisis from multiple angles. Follow along with the participants on the streets and in jail and ride along with local law enforcement in the Narcotics Unit in an attempt to gain a 360-degree view of the drug epidemic affecting America.",2019,TV-14,43,"['reality', 'documentation']",['US'],1,tt11271956,6.1,100,1.4,7,hulu
ts237570,Littlekenny,SHOW,"There are 500 kids at Letterkenny Central School, and these are their problems.",2019,TV-MA,2,"['comedy', 'animation']",['CA'],1,tt11960282,7,375,1.4,7.5,hulu
ts251267,Extreme Unboxing,SHOW,"Follow a group of larger-than-life personalities from across the country as they buy liquidated merchandise for pennies on the dollar and unbox it with hopes for big profits. Risking their own money to bid on and win the best boxes at the best prices, pallets are delivered to their homes for the big reveal.",2020,TV-14,20,['reality'],['US'],1,tt12803848,5,61,1.4,6,hulu
ts238205,Extreme Rescues,SHOW,Footage of real-life rescues captured by the rescuers themselves as they put their lives on the line saving others.,2020,TV-14,44,['reality'],['GB'],1,,,,1.272,,hulu
tm1218188,The Dunes,MOVIE,A young couples romantic beach date turns dark when they encounter a mysterious seaside stranger. Could the last day of summer be their last day ever?,2019,,6,['horror'],['US'],,,,,1.242,5.056,hulu
tm836499,Hidden Mother,MOVIE,A recently-widowed mother is gifted an antique photo that happens to harbor the presence of a sinister spirit within its frame.,2019,,5,['horror'],['US'],,,,,1.061,5.3,hulu
tm836481,The Ripper,MOVIE,"When the rhythm guitarist of a band is pushed to attempt a solo, he instead starts to reveal some haunting hidden talents.",2019,,6,"['horror', 'comedy']",['US'],,,,,1.032,3.5,hulu
ts268068,The First 48 Presents Critical Minutes,SHOW,"A look back at some of the most unforgettable moments in The First 48’s history.  Each episode presents different cases previously featured on the show, all with a common theme.",2020,,41,[],[],2,,,,1,9.3,hulu
tm921972,Jodi Arias: Cellmate Secrets,MOVIE,"Seven years after being convicted of first-degree murder, new disturbing information comes to light about Jodi Arias and the murder of her ex-boyfriend Travis Alexander as her former cellmates and closest confidants give firsthand accounts of their time behind bars with the murderess.",2020,,43,[],['US'],,,,,0.976,,hulu
ts189436,Big Food Bucket List,SHOW,"In Big Food Bucket List, host and comedian John Catucci (You Gotta Eat Here!) takes viewers on one-of-a-kind food adventures across North America, as he checks off the most drool-worthy dishes and must-see culinary stops along the way. Big Food Bucket List is produced by Lone Eagle Entertainment in association with Corus Studios for Food Network Canada.",2019,,28,['reality'],['CA'],4,tt10124256,7.3,28,0.898,,hulu
tm836485,Undo,MOVIE,A physicist celebrates a breakthrough in reversing the flow of time… until a haunting figure pays him a visit.,2019,,7,['horror'],['US'],,,,,0.874,4.6,hulu
tm631378,Insomnium,MOVIE,"As George investigates his roommate's increasingly disturbing nocturnal behavior, he suspects that his friend has become possessed by a dark entity.",2019,,81,"['thriller', 'horror']",['US'],,tt1869491,3.5,658,0.861,5,hulu
tm502237,London Mitchell's Christmas,MOVIE,"London Mitchell who is known as a Scrooge has previously lived an unscrupulous lifestyle, by divorcing his wife, barely seeing his children, and dumping a woman a month before Christmas to be with somebody else. Suddenly, London becomes faced with a diagnosis of prostate cancer which forces him to rethink his total outlook on life during the Christmas holiday.",2019,,90,['family'],['US'],,tt8291022,5.9,73,0.712,1,hulu
ts228189,Junior Chef Showdown,SHOW,"In Junior Chef Showdown, the best and brightest young cooks go head-to-head in challenges that test their skills and ingenuity in the kitchen, but only one pint-sized chef will be named the country's best.",2020,,54,['reality'],['CA'],1,tt11058342,7.7,22,0.651,,hulu
