person_id,id,name,character,role,platform
4361,tm52974,Rick Ducommun,Walt,ACTOR,hulu
4363,tm52974,Matt Landers,Captain Mitchell,ACTOR,hulu
598546,tm52974,Carmine Zozzora,Rivers,ACTOR,hulu
1310100,tm52974,Dustyn Taylor,Ginny,ACTOR,hulu
598547,tm52974,George Christy,Dr. Hasseldorf,ACTOR,hulu
4358,tm52974,Anthony Peck,Young Cop,ACTOR,hulu
1310103,tm52974,Cheryl Baker,Woman,ACTOR,hulu
4365,tm52974,David Ursin,Harvey Johnson,ACTOR,hulu
3237,tm52974,Mary Ellen Trainor,Gail Wallens,ACTOR,hulu
103007,tm52974,Harri James,Police Supervisor,ACTOR,hulu
1310123,tm52974,Shelley Pogoda,Dispatcher,ACTOR,hulu
4367,tm52974,Selma Archerd,Hostage,ACTOR,hulu
1309981,tm52974,Scot Bennett,Hostage,ACTOR,hulu
4366,tm52974,Rebecca Broussard,Hostage,ACTOR,hulu
1163636,tm52974,Kate Finlayson,Hostage,ACTOR,hulu
1310135,tm52974,Shanna Higgins,Hostage,ACTOR,hulu
4368,tm52974,Kym Malin,Hostage,ACTOR,hulu
4370,tm52974,Taylor Fry,Lucy McClane,ACTOR,hulu
607788,tm52974,Noah Land,John McClane Jr.,ACTOR,hulu
4369,tm52974,Betty Carvalho,Paulina,ACTOR,hulu
4371,tm52974,Kip Waldo,Convenience Store Clerk,ACTOR,hulu
1104736,tm52974,Mark Goldstein,Station Manager,ACTOR,hulu
4372,tm52974,Tracy Reiner,Thornburg's Assistant,ACTOR,hulu
4374,tm52974,Rick Cicetti,Guard,ACTOR,hulu
720789,tm52974,Fred Lerner,Guard,ACTOR,hulu
1310141,tm52974,Bill Margolin,Producer,ACTOR,hulu
4351,tm52974,Bob Jennings,Cameraman,ACTOR,hulu
1310155,tm52974,Bruce P. Schultz,Cameraman,ACTOR,hulu
4373,tm52974,David Katz,Soundman,ACTOR,hulu
4376,tm52974,Robert Lesser,Businessman,ACTOR,hulu
4377,tm52974,Stella Hall,Stewardess,ACTOR,hulu
4379,tm52974,Terri Lynn Doss,Girl at Airport,ACTOR,hulu
1310168,tm52974,Jon E. Greene,Boy at Airport,ACTOR,hulu
873576,tm52974,P. Randall Bowers,Kissing Man,ACTOR,hulu
4378,tm52974,Charlie Picerni,Dwayne Robinson's Driver (uncredited),ACTOR,hulu
1140491,tm52974,Conrad Hurtt,SWAT (uncredited),ACTOR,hulu
440558,tm52974,Terry Ray,SWAT (uncredited),ACTOR,hulu
655993,tm52974,Eric Kay,Fireman (uncredited),ACTOR,hulu
4381,tm52974,John McTiernan,,DIRECTOR,hulu
6747,tm27677,Nicolas Cage,H.I.,ACTOR,hulu
4770,tm27677,Holly Hunter,Ed,ACTOR,hulu
37803,tm27677,Trey Wilson,"Nathan Arizona, Sr.",ACTOR,hulu
3063,tm27677,John Goodman,Gale,ACTOR,hulu
24555,tm27677,William Forsythe,Evelle,ACTOR,hulu
